id,name,state,10-14,15-19,20-24,25-29,30-34,35-39,40-49,5-9,50-59,60-69,70-79,80+,latitude,longitude
193,Ganjam ,ODISHA ,47,42,38,35,31,30,50,41,33,25,12,4,0.337031,1.479957
194,Garhwa  ,JHARKHAND ,46,29,24,23,21,19,28,46,17,16,6,2,0.421622,1.462481
195,Garhwal ,UTTARAKHAND ,14,13,10,8,8,8,13,12,11,9,5,2,0.520653,1.374928
196,Gautam Buddha Nagar ,UTTAR PRADESH ,140,132,128,115,99,90,124,142,69,45,21,11,0.497551,1.353202
197,Gaya ,BIHAR ,115,82,70,66,59,52,76,124,47,38,15,6,0.432758,1.483454
198,Ghaziabad ,UTTAR PRADESH ,453,437,394,335,289,275,401,434,235,147,59,32,0.500665,1.351448
199,Ghazipur ,UTTAR PRADESH ,136,119,85,72,66,63,98,141,70,57,25,11,0.446593,1.458572
200,Giridih ,JHARKHAND ,63,45,41,38,33,29,45,69,29,22,8,2,0.422140,1.506259
201,Goalpara ,ASSAM ,64,56,51,48,38,37,56,68,32,19,8,3,0.456723,1.581525
202,Godda ,JHARKHAND ,72,49,44,44,41,38,56,79,37,29,10,3,0.433262,1.522109
203,Golaghat ,ASSAM ,33,30,29,29,24,23,34,30,21,13,5,2,0.462682,1.640151
204,Gonda ,UTTAR PRADESH ,113,93,71,63,55,52,75,119,50,40,17,7,0.473603,1.430432
205,Gondiya ,MAHARASHTRA ,25,25,23,20,19,18,32,20,22,15,6,1,0.374531,1.399672
206,Gopalganj ,BIHAR ,177,127,90,85,79,75,112,182,78,67,27,9,0.460999,1.474115
207,Gorakhpur ,UTTAR PRADESH ,169,156,117,101,88,84,125,162,86,67,31,13,0.466850,1.455071
208,Gulbarga ,KARNATAKA ,26,26,22,19,15,15,24,24,15,12,5,2,0.302656,1.340968
209,Gumla ,JHARKHAND ,25,18,14,13,11,11,19,25,13,10,3,1,0.402223,1.475704
210,Guna ,MADHYA PRADESH ,24,19,17,15,13,12,18,25,11,8,4,1,0.430163,1.349359
211,Guntur ,ANDHRA PRADESH ,39,40,42,40,33,33,53,34,36,28,12,4,0.284531,1.404016
212,Gurdaspur ,PUNJAB ,60,67,64,57,48,46,77,55,49,41,18,9,0.559211,1.316069
213,Gurgaon ,Hariyana ,111,108,122,126,113,97,129,113,76,55,24,11,0.496715,1.344984
214,Gwalior ,MADHYA PRADESH ,49,49,45,38,33,31,49,44,30,20,9,4,0.457618,1.364616
215,Hailakandi ,ASSAM ,58,51,44,40,34,33,49,62,30,20,8,3,0.430765,1.615570
216,Hamirpur ,HIMACHAL PRADESH ,35,36,33,30,30,30,50,33,39,29,16,10,0.452983,1.398923
217,Hamirpur ,UTTAR PRADESH ,34,29,23,19,18,17,28,31,18,15,7,3,0.452983,1.398923
218,Hanumangarh ,RAJASTHAN ,21,19,18,15,13,12,20,18,11,7,3,1,0.517016,1.296645
219,Haora  ,WEST BENGAL ,301,322,320,298,272,270,427,271,276,172,84,34,0.394717,1.541091
220,Harda  ,MADHYA PRADESH ,20,18,16,13,12,11,18,19,11,7,4,1,0.389997,1.345562
221,Hardoi ,UTTAR PRADESH ,91,76,56,48,44,43,62,88,39,35,13,5,0.478105,1.398629
222,Hardwar ,UTTARAKHAND ,94,95,82,64,54,52,77,91,46,35,14,6,0.522503,1.363121
223,Hassan ,KARNATAKA ,22,22,24,23,19,21,35,18,24,18,8,3,0.227142,1.328238
224,Haveri ,KARNATAKA ,32,34,33,29,23,24,40,29,26,19,7,2,0.258236,1.316001
225,Hazaribagh ,JHARKHAND ,64,50,42,38,33,30,47,62,29,22,9,3,0.418561,1.489796
226,Hingoli ,MAHARASHTRA ,27,24,22,19,17,16,24,25,16,15,7,2,0.344277,1.346501
227,Hisar ,Hariyana ,46,47,44,38,33,31,50,41,29,23,9,4,0.508642,1.321747
228,Hoshangabad ,MADHYA PRADESH ,20,19,17,15,13,12,20,18,13,9,4,1,0.396949,1.356813
229,Hoshiarpur ,PUNJAB ,42,47,44,38,33,32,58,39,42,30,15,8,0.550223,1.324930
230,Hugli  ,WEST BENGAL ,152,161,160,154,142,148,245,131,164,102,50,19,0.399208,1.538872
231,Hyderabad ,ANDHRA PRADESH ,1739,1750,1911,1828,1532,1346,2043,1629,1270,750,315,164,0.304425,1.369394
232,Idukki  ,KERALA ,21,18,18,19,19,21,40,18,30,16,8,4,0.172102,1.343229
233,Imphal East ,MANIPUR ,65,58,60,62,51,47,75,62,49,28,13,6,0.432938,1.639059
234,Imphal West ,MANIPUR ,95,83,91,96,84,77,123,87,85,49,24,12,0.430078,1.625851
235,Indore ,MADHYA PRADESH ,83,80,83,78,69,62,97,80,60,39,18,8,0.396621,1.324120
236,Jabalpur ,MADHYA PRADESH ,46,47,47,41,37,35,58,43,36,23,10,4,0.404380,1.395153
237,Jagatsinghapur  ,ODISHA ,61,60,63,63,53,50,86,51,61,44,27,10,0.353529,1.503970
238,Jaintia Hills ,MEGHALAYA ,14,11,9,8,5,5,7,15,4,2,1,0,0.441933,1.612248
239,Jaipur ,RAJASTHAN ,69,65,59,51,44,40,62,64,38,24,11,4,0.469577,1.322206
240,Jaisalmer ,RAJASTHAN ,2,1,1,1,1,0,1,2,0,0,0,0,0.469768,1.237739
241,Jajapur   ,ODISHA ,62,60,61,56,46,45,73,55,50,36,19,7,0.363830,1.506757
242,Jalandhar ,PUNJAB ,73,81,83,75,65,62,107,67,73,50,23,11,0.546692,1.319206
243,Jalaun  ,UTTAR PRADESH ,42,40,33,28,25,25,39,39,25,20,10,4,0.456294,1.384660
244,Jalgaon ,MAHARASHTRA ,35,34,34,30,26,24,40,33,27,22,11,3,0.366579,1.318773
245,Jalna ,MAHARASHTRA ,26,24,23,20,17,16,24,26,16,16,7,3,0.346300,1.324483
246,Jalor ,RAJASTHAN ,23,17,14,11,10,9,15,22,10,7,3,1,0.442440,1.267564
247,Jalpaiguri  ,WEST BENGAL ,65,67,65,55,41,45,79,57,49,27,11,4,0.463062,1.548340
248,Jammu ,JAMMU and KASHMIR ,58,61,62,61,52,50,83,54,56,34,18,9,0.570757,1.306761
249,Jamnagar ,GUJARAT ,15,15,14,13,11,10,17,14,11,7,3,1,0.392122,1.222746
250,Jamtara ,JHARKHAND ,50,38,36,36,31,29,44,53,30,23,7,2,0.418236,1.515020
251,Jamui ,BIHAR ,73,51,46,44,39,35,51,81,33,26,9,3,0.435143,1.504938
252,Janjgir - Champa ,CHHATTISGARH ,49,47,39,32,28,27,43,44,27,25,11,3,0.384118,1.441341
253,Jashpur  ,CHHATTISGARH ,15,13,12,11,9,9,17,15,11,8,3,1,0.399335,1.468431
254,Jaunpur ,UTTAR PRADESH ,148,130,92,75,67,64,97,143,70,60,27,12,0.449678,1.443125
255,Jehanabad  ,BIHAR ,161,108,94,90,85,75,112,172,70,61,25,9,0.440092,1.483362
