District,State,Density,Latitude,Longitude
Sidhi,Madhya Pradesh,232.33003504432077,22.952601,78.35788
Jehanabad,Bihar,1208.7142857142858,25.222194,85.547982
Tarn Taran,Punjab,463.80571665285834,30.753838,75.521637
Shrawasti,Uttar Pradesh,681.3176829268293,26.879641,80.56982
Bundi,Rajasthan,192.33137119113573,26.950688,73.786591
Idukki,Kerala,254.5853994490358,9.791129,76.746728
Hamirpur,Uttar Pradesh,274.62944541158913,26.879641,80.56982
Jorhat,Assam,383.11329358119957,26.272528,92.877434
Narsimhapur,Madhya Pradesh,212.71264367816093,22.952601,78.35788
Mewat,Hariyana,722.8022561380226,26.740785,76.222735
Ramanagara,Karnataka,307.91695108077363,,
Anantnag,Jammu and Kashmir,301.8164521544488,,
Kaithal,Hariyana,463.66163141993957,,
Gadchiroli,Maharashtra,74.44782126006106,,
Golaghat,Assam,304.6510565391205,,
Shahdol,Madhya Pradesh,171.80709105560032,,
Saraikela-Kharsawan,Jharkhand,400.84907790741437,,
Gadag,Karnataka,228.59566244363324,,
Karur,Tamil Nadu,366.56095041322317,,
Rohtak,Hariyana,608.1398280802292,,
Chandigarh,Chandigarh,9258.333333333334,,
Mandla,Madhya Pradesh,181.8801724137931,22.952601,78.35788
Chatra,Jharkhand,280.4965034965035,23.663785,85.143872
Palwal,Hariyana,767.2612214863871,26.740785,76.222735
Lakhimpur,Assam,457.6798418972332,26.272528,92.877434
Sambalpur,Odisha,157.1707427536232,20.968861,85.745303
Sirohi,Rajasthan,201.7807632398754,26.950688,73.786591
Mahasamund,Chhattisgarh,215.6062630480167,21.65204,81.871417
Gumla,Jharkhand,191.27108208955224,23.663785,85.143872
Jhabua,Madhya Pradesh,284.73555555555555,22.952601,78.35788
Chamarajanagar,Karnataka,180.73495042492917,14.882195,75.57454
Panna,Madhya Pradesh,142.46951646811493,22.952601,78.35788
Goalpara,Assam,552.7319078947369,26.272528,92.877434
Baramula,Jammu and Kashmir,237.57695027103463,33.557742,75.102396
Lakhisarai,Bihar,815.0749185667753,25.222194,85.547982
Mandi,Himachal Pradesh,253.1081012658228,31.903523,77.270865
Moga,Punjab,444.1329170383586,30.753838,75.521637
Sahibzada Ajit Singh Nagar,Punjab,909.1663619744058,30.753838,75.521637
Chitrakoot,Uttar Pradesh,308.3737562189055,26.879641,80.56982
Bangalore Rural,Karnataka,431.21105308964314,14.882195,75.57454
Rayagada,Odisha,136.84589283189595,20.968861,85.745303
Kurukshetra,Hariyana,630.4934640522875,26.740785,76.222735
Nayagarh,Odisha,247.50359897172237,20.968861,85.745303
Jhajjar,Hariyana,522.5763358778626,26.740785,76.222735
Morigaon,Assam,617.2940038684719,26.272528,92.877434
