id,name,state,pop_density,latitude,longitude
428,Shahdol,Madhya Pradesh,172,0.406671,1.420064
429,Saraikela-Kharsawan,Jharkhand,401,0.396173,1.499788
430,Gadag,Karnataka,229,0.269245,1.320134
431,Karur,Tamil Nadu,367,0.191073,1.363016
432,Rohtak,Hariyana,608,0.504343,1.337102
433,Chandigarh,Chandigarh,9258,0.536306,1.340036
434,Mandla,Madhya Pradesh,182,0.394565,1.402706
435,Chatra,Jharkhand,280,0.422473,1.481272
436,Palwal,Hariyana,767,0.491180,1.349667
437,Lakhimpur,Assam,458,0.487795,1.409794
438,Sambalpur,Odisha,157,0.441006,1.536153
439,Sirohi,Rajasthan,202,0.434343,1.271636
440,Mahasamund,Chhattisgarh,216,0.368499,1.432883
441,Gumla,Jharkhand,191,0.402223,1.475704
442,Jhabua,Madhya Pradesh,285,0.397428,1.301927
443,Chamarajanagar,Karnataka,181,0.208169,1.342963
444,Panna,Madhya Pradesh,142,0.431326,1.399443
